Date,Toronto MLS Price Benchmark,Data Type
2021-07-31,600100,Actual
2021-08-31,601700,Actual
2021-09-30,615900,Actual
2021-10-31,644400,Actual
2021-11-30,665800,Actual
2021-12-31,675900,Actual
2022-01-31,702900,Actual
2022-02-28,749700,Actual
2022-03-31,782600,Actual
2022-04-30,784200,Actual
2022-05-31,775200,Actual
2022-06-30,746800,Actual
2022-07-31,729000,Actual
2022-08-31,712900,Actual
2022-09-30,701500,Actual
2022-10-31,695700,Actual
2022-11-30,687500,Actual
2022-12-31,679200,Actual
2023-01-31,674900,Actual
2023-02-28,674900,Actual
2023-03-31,683100,Actual
2023-04-30,693100,Actual
2023-05-31,708200,Actual
2023-06-30,717600,Actual
2023-07-31,715500,Actual
2023-08-31,705300,Actual
2023-09-30,704700,Actual
2023-10-31,692000,Actual
2023-11-30,683700,Actual
2023-12-31,671800,Actual
2024-01-31,665200,Actual
2024-02-29,669300,Actual
2024-03-31,678300,Actual
2024-04-30,686800,Actual
2024-05-31,685300,Actual
2024-06-30,683700,Actual
2024-07-31,679200,Actual
2024-08-31,667700,Actual
2024-09-30,654300,Actual
2024-10-31,650000,Actual
2024-11-30,649200,Actual
2024-12-31,647200,Actual
2025-01-31,642300,Actual
2025-02-28,647500,Actual
2025-03-31,656308,Forecast
2025-04-30,660469,Forecast
2025-05-31,662426,Forecast
