Date,MLS Price Benchmark,Data Type
2021-07-31,704600,Actual
2021-08-31,714000,Actual
2021-09-30,728000,Actual
2021-10-31,744400,Actual
2021-11-30,761400,Actual
2021-12-31,777100,Actual
2022-01-31,812100,Actual
2022-02-28,837300,Actual
2022-03-31,835600,Actual
2022-04-30,819100,Actual
2022-05-31,802000,Actual
2022-06-30,782000,Actual
2022-07-31,763100,Actual
2022-08-31,748800,Actual
2022-09-30,738100,Actual
2022-10-31,730100,Actual
2022-11-30,722800,Actual
2022-12-31,714800,Actual
2023-01-31,707900,Actual
2023-02-28,705400,Actual
2023-03-31,708200,Actual
2023-04-30,720900,Actual
2023-05-31,733000,Actual
2023-06-30,742200,Actual
2023-07-31,747600,Actual
2023-08-31,747200,Actual
2023-09-30,743500,Actual
2023-10-31,736200,Actual
2023-11-30,726100,Actual
2023-12-31,719900,Actual
2024-01-31,714600,Actual
2024-02-29,714900,Actual
2024-03-31,715200,Actual
2024-04-30,713400,Actual
2024-05-31,712500,Actual
2024-06-30,713800,Actual
2024-07-31,714000,Actual
2024-08-31,713400,Actual
2024-09-30,712700,Actual
2024-10-31,711400,Actual
2024-11-30,713200,Actual
2024-12-31,712400,Actual
2025-01-31,710700,Actual
2025-02-28,704400,Actual
2025-03-31,697600,Actual
2025-04-30,689200,Actual
2025-05-31,682097,Forecast
2025-06-30,678303,Forecast
2025-07-31,676797,Forecast
2025-08-31,676732,Forecast
2025-09-30,677221,Forecast
2025-10-31,677806,Forecast
