Date,Absorption Rate,Absorption Rate growth,Absorption Rate growth lag 1,Absorption Rate growth lag 10,Absorption Rate growth lag 11,Absorption Rate growth lag 12,Absorption Rate growth lag 13,Absorption Rate growth lag 14,Absorption Rate growth lag 15,Absorption Rate growth lag 16,Absorption Rate growth lag 17,Absorption Rate growth lag 18,Absorption Rate growth lag 2,Absorption Rate growth lag 3,Absorption Rate growth lag 4,Absorption Rate growth lag 5,Absorption Rate growth lag 6,Absorption Rate growth lag 7,Absorption Rate growth lag 8,Absorption Rate growth lag 9,Absorption Rate growth12,Absorption Rate growth12 lag 1,Absorption Rate growth12 lag 10,Absorption Rate growth12 lag 11,Absorption Rate growth12 lag 12,Absorption Rate growth12 lag 13,Absorption Rate growth12 lag 14,Absorption Rate growth12 lag 15,Absorption Rate growth12 lag 16,Absorption Rate growth12 lag 17,Absorption Rate growth12 lag 18,Absorption Rate growth12 lag 2,Absorption Rate growth12 lag 3,Absorption Rate growth12 lag 4,Absorption Rate growth12 lag 5,Absorption Rate growth12 lag 6,Absorption Rate growth12 lag 7,Absorption Rate growth12 lag 8,Absorption Rate growth12 lag 9,Absorption Rate lag 1,Absorption Rate lag 10,Absorption Rate lag 11,Absorption Rate lag 12,Absorption Rate lag 13,Absorption Rate lag 14,Absorption Rate lag 15,Absorption Rate lag 16,Absorption Rate lag 17,Absorption Rate lag 18,Absorption Rate lag 2,Absorption Rate lag 3,Absorption Rate lag 4,Absorption Rate lag 5,Absorption Rate lag 6,Absorption Rate lag 7,Absorption Rate lag 8,Absorption Rate lag 9,Mortgage rate 5y log,Mortgage rate 5y log lag 1,Mortgage rate 5y log lag 10,Mortgage rate 5y log lag 11,Mortgage rate 5y log lag 12,Mortgage rate 5y log lag 13,Mortgage rate 5y log lag 14,Mortgage rate 5y log lag 15,Mortgage rate 5y log lag 16,Mortgage rate 5y log lag 17,Mortgage rate 5y log lag 18,Mortgage rate 5y log lag 2,Mortgage rate 5y log lag 3,Mortgage rate 5y log lag 4,Mortgage rate 5y log lag 5,Mortgage rate 5y log lag 6,Mortgage rate 5y log lag 7,Mortgage rate 5y log lag 8,Mortgage rate 5y log lag 9,SNLR,SNLR lag 1,SNLR lag 10,SNLR lag 11,SNLR lag 12,SNLR lag 2,SNLR lag 3,SNLR lag 4,SNLR lag 5,SNLR lag 6,SNLR lag 7,SNLR lag 8,SNLR lag 9,HPI growth
2010-01-31,63.8,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,1.5686159179138452,1.5748464676644813,1.6370530794670737,1.6639260977181702,1.7544036826842861,1.8196988379172965,1.873339456220478,1.8656293177945105,1.8180767775454285,1.8325814637483102,1.851599469584072,1.6213664832993742,1.6094379124341003,1.6034198401085373,1.6351056591826783,1.6370530794670737,1.589235205116581,1.5303947050936475,1.5665304114228238,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.01595951732191514
2010-02-28,63.8,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,1.5539252025038417,1.5686159179138452,1.5665304114228238,1.6370530794670737,1.6639260977181702,1.7544036826842861,1.8196988379172965,1.873339456220478,1.8656293177945105,1.8180767775454285,1.8325814637483102,1.5748464676644813,1.6213664832993742,1.6094379124341003,1.6034198401085373,1.6351056591826783,1.6370530794670737,1.589235205116581,1.5303947050936475,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.006130268199233679
2010-03-31,63.8,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,1.5496879080283263,1.5539252025038417,1.5303947050936475,1.5665304114228238,1.6370530794670737,1.6639260977181702,1.7544036826842861,1.8196988379172965,1.873339456220478,1.8656293177945105,1.8180767775454285,1.5686159179138452,1.5748464676644813,1.6213664832993742,1.6094379124341003,1.6034198401085373,1.6351056591826783,1.6370530794670737,1.589235205116581,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.007616146230007725
2010-04-30,43.8,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,1.6389967146756448,1.5496879080283263,1.589235205116581,1.5303947050936475,1.5665304114228238,1.6370530794670737,1.6639260977181702,1.7544036826842861,1.8196988379172965,1.873339456220478,1.8656293177945105,1.5539252025038417,1.5686159179138452,1.5748464676644813,1.6213664832993742,1.6094379124341003,1.6034198401085373,1.6351056591826783,1.6370530794670737,0.45830969937606353,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.006424792139077873
2010-05-31,36.1,-0.17579908675799083,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,43.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,1.667706820558076,1.6389967146756448,1.6370530794670737,1.589235205116581,1.5303947050936475,1.5665304114228238,1.6370530794670737,1.6639260977181702,1.7544036826842861,1.8196988379172965,1.873339456220478,1.5496879080283263,1.5539252025038417,1.5686159179138452,1.5748464676644813,1.6213664832993742,1.6094379124341003,1.6034198401085373,1.6351056591826783,0.44831591173054586,0.45830969937606353,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,-0.0007510326699211589
2010-06-30,34.5,-0.04432132963988922,-0.17579908675799083,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,36.1,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,43.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,1.6448050562713916,1.667706820558076,1.6351056591826783,1.6370530794670737,1.589235205116581,1.5303947050936475,1.5665304114228238,1.6370530794670737,1.6639260977181702,1.7544036826842861,1.8196988379172965,1.6389967146756448,1.5496879080283263,1.5539252025038417,1.5686159179138452,1.5748464676644813,1.6213664832993742,1.6094379124341003,1.6034198401085373,0.542319749216301,0.44831591173054586,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.45830969937606353,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,-0.0018789928598271777
2010-07-31,28.9,-0.16231884057971013,-0.04432132963988922,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.17579908675799083,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,34.5,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,36.1,43.8,63.8,63.8,63.8,63.8,63.8,63.8,1.6134299337036377,1.6448050562713916,1.6034198401085373,1.6351056591826783,1.6370530794670737,1.589235205116581,1.5303947050936475,1.5665304114228238,1.6370530794670737,1.6639260977181702,1.7544036826842861,1.667706820558076,1.6389967146756448,1.5496879080283263,1.5539252025038417,1.5686159179138452,1.5748464676644813,1.6213664832993742,1.6094379124341003,0.5252725470763132,0.542319749216301,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.44831591173054586,0.45830969937606353,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,-0.005647590361445798
2010-08-31,32.0,0.10726643598615926,-0.16231884057971013,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.04432132963988922,-0.17579908675799083,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,28.9,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,34.5,36.1,43.8,63.8,63.8,63.8,63.8,63.8,1.572773928062509,1.6134299337036377,1.6094379124341003,1.6034198401085373,1.6351056591826783,1.6370530794670737,1.589235205116581,1.5303947050936475,1.5665304114228238,1.6370530794670737,1.6639260977181702,1.6448050562713916,1.667706820558076,1.6389967146756448,1.5496879080283263,1.5539252025038417,1.5686159179138452,1.5748464676644813,1.6213664832993742,0.5705059203444564,0.5252725470763132,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.542319749216301,0.44831591173054586,0.45830969937606353,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,-0.009844755774327862
2010-09-30,31.2,-0.025000000000000022,0.10726643598615926,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.16231884057971013,-0.04432132963988922,-0.17579908675799083,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,32.0,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,28.9,34.5,36.1,43.8,63.8,63.8,63.8,63.8,1.5260563034950492,1.572773928062509,1.6213664832993742,1.6094379124341003,1.6034198401085373,1.6351056591826783,1.6370530794670737,1.589235205116581,1.5303947050936475,1.5665304114228238,1.6370530794670737,1.6134299337036377,1.6448050562713916,1.667706820558076,1.6389967146756448,1.5496879080283263,1.5539252025038417,1.5686159179138452,1.5748464676644813,0.4407436096049574,0.5705059203444564,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5252725470763132,0.542319749216301,0.44831591173054586,0.45830969937606353,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.002294455066921497
2010-10-31,37.5,0.20192307692307687,-0.025000000000000022,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,0.10726643598615926,-0.16231884057971013,-0.04432132963988922,-0.17579908675799083,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.3134796238244514,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,-0.1959247648902821,31.2,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,63.8,32.0,28.9,34.5,36.1,43.8,63.8,63.8,63.8,1.5085119938441398,1.5260563034950492,1.5748464676644813,1.6213664832993742,1.6094379124341003,1.6034198401085373,1.6351056591826783,1.6370530794670737,1.589235205116581,1.5303947050936475,1.5665304114228238,1.572773928062509,1.6134299337036377,1.6448050562713916,1.667706820558076,1.6389967146756448,1.5496879080283263,1.5539252025038417,1.5686159179138452,0.6026743075453678,0.4407436096049574,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.5705059203444564,0.5252725470763132,0.542319749216301,0.44831591173054586,0.45830969937606353,0.5579086697551291,0.5579086697551291,0.5579086697551291,0.00038153376573824005
